countyname,schoolregion,heard_fafsa_early
Alameda,SF Bay Area,.67343175
Alpine,N San Joaquin Valley,.51724136
Amador,N San Joaquin Valley,.51724136
Butte,Superior,.6868009
Calaveras,N San Joaquin Valley,.51724136
Colusa,Superior,.6868009
Contra Costa,SF Bay Area,.67343175
Del Norte,North Coast,.57291669
El Dorado,Superior,.6868009
Fresno,S San Joaquin Valley,.59513277
Glenn,Superior,.6868009
Humboldt,North Coast,.57291669
Imperial,SD - Imperial,.67826086
Inyo,S San Joaquin Valley,.59513277
Kern,S San Joaquin Valley,.59513277
Kings,S San Joaquin Valley,.59513277
Lake,North Coast,.57291669
Lassen,Superior,.6868009
Los Angeles,LA County,.65275311
Madera,N San Joaquin Valley,.51724136
Marin,SF Bay Area,.67343175
Mariposa,N San Joaquin Valley,.51724136
Mendocino,North Coast,.57291669
Merced,N San Joaquin Valley,.51724136
Modoc,Superior,.6868009
Mono,N San Joaquin Valley,.51724136
Monterey,Central Coast,.68300653
Napa,North Coast,.57291669
Nevada,Superior,.6868009
Orange,Orange County,.68944097
Placer,Superior,.6868009
Plumas,Superior,.6868009
Riverside,Inland Empire,.69014084
Sacramento,Superior,.6868009
San Benito,Central Coast,.68300653
San Bernardino,Inland Empire,.69014084
San Diego,SD - Imperial,.67826086
San Francisco,SF Bay Area,.67343175
San Joaquin,N San Joaquin Valley,.51724136
San Luis Obispo,Central Coast,.68300653
San Mateo,SF Bay Area,.67343175
Santa Barbara,Central Coast,.68300653
Santa Clara,SF Bay Area,.67343175
Santa Cruz,Central Coast,.68300653
Shasta,Superior,.6868009
Sierra,Superior,.6868009
Siskiyou,Superior,.6868009
Solano,SF Bay Area,.67343175
Sonoma,North Coast,.57291669
Stanislaus,N San Joaquin Valley,.51724136
Sutter,Superior,.6868009
Tehama,Superior,.6868009
Trinity,North Coast,.57291669
Tulare,S San Joaquin Valley,.59513277
Tuolumne,N San Joaquin Valley,.51724136
Ventura,Central Coast,.68300653
Yolo,Superior,.6868009
Yuba,Superior,.6868009
