geoid,plan_transfer_yes,transfer_factor_proximity,de_yes,heard_fafsa_early
06061,.70642203,.56756759,.44262296,.6868009
06067,.70642203,.56756759,.44262296,.6868009
06063,.70642203,.56756759,.44262296,.6868009
06091,.70642203,.56756759,.44262296,.6868009
06093,.70642203,.56756759,.44262296,.6868009
06049,.70642203,.56756759,.44262296,.6868009
06017,.70642203,.56756759,.44262296,.6868009
06035,.70642203,.56756759,.44262296,.6868009
06057,.70642203,.56756759,.44262296,.6868009
06101,.70642203,.56756759,.44262296,.6868009
06011,.70642203,.56756759,.44262296,.6868009
06007,.70642203,.56756759,.44262296,.6868009
06021,.70642203,.56756759,.44262296,.6868009
06113,.70642203,.56756759,.44262296,.6868009
06089,.70642203,.56756759,.44262296,.6868009
06115,.70642203,.56756759,.44262296,.6868009
06103,.70642203,.56756759,.44262296,.6868009
06055,.73809522,.64516127,.5,.57291669
06033,.73809522,.64516127,.5,.57291669
06023,.73809522,.64516127,.5,.57291669
06097,.73809522,.64516127,.5,.57291669
06105,.73809522,.64516127,.5,.57291669
06015,.73809522,.64516127,.5,.57291669
06045,.73809522,.64516127,.5,.57291669
06013,.82989693,.47468355,.39508507,.67343175
06081,.82989693,.47468355,.39508507,.67343175
06095,.82989693,.47468355,.39508507,.67343175
06075,.82989693,.47468355,.39508507,.67343175
06041,.82989693,.47468355,.39508507,.67343175
06001,.82989693,.47468355,.39508507,.67343175
06085,.82989693,.47468355,.39508507,.67343175
06003,.67741936,.5,.375,.51724136
06051,.67741936,.5,.375,.51724136
06047,.67741936,.5,.375,.51724136
06099,.67741936,.5,.375,.51724136
06109,.67741936,.5,.375,.51724136
06005,.67741936,.5,.375,.51724136
06039,.67741936,.5,.375,.51724136
06043,.67741936,.5,.375,.51724136
06009,.67741936,.5,.375,.51724136
06077,.67741936,.5,.375,.51724136
06053,.69078946,.51923078,.43686005,.68300653
06069,.69078946,.51923078,.43686005,.68300653
06111,.69078946,.51923078,.43686005,.68300653
06087,.69078946,.51923078,.43686005,.68300653
06079,.69078946,.51923078,.43686005,.68300653
06083,.69078946,.51923078,.43686005,.68300653
06107,.68032789,.49689442,.50462961,.59513277
06029,.68032789,.49689442,.50462961,.59513277
06027,.68032789,.49689442,.50462961,.59513277
06031,.68032789,.49689442,.50462961,.59513277
06019,.68032789,.49689442,.50462961,.59513277
06071,.69999999,.45454547,.3339383,.69014084
06065,.69999999,.45454547,.3339383,.69014084
06037,.72991073,.43573669,.37615526,.65275311
06059,.7027027,.53465348,.32907349,.68944097
06073,.78767121,.4054054,.37951806,.67826086
06025,.78767121,.4054054,.37951806,.67826086
